Tipo,Valor,Mês
Aluguel,"R$ 2.823,89",Dezembro
Condominio,"R$ 518,38",Dezembro
Condominio,"R$ 509,22",Dezembro
Contabilidade,"R$ 148,00",Dezembro
Luz,"R$ 64,34",Dezembro
Luz,"R$ 74,93",Dezembro
Internet Consultorio,"R$ 89,90",Dezembro
Telefone Clinica,"R$ 98,00",Dezembro
Imposto,"R$ 0,00",Dezembro
Simples,"R$ 0,00",Dezembro
Marketing,"R$ 500,00",Dezembro
Plataforma,"R$ 289,00",Dezembro
Seguro Saúde,"R$ 325,81",Dezembro
Luz,"R$ 63,71",Dezembro
Copinhos,"R$ 56,16",Dezembro
Enfeites,"R$ 37,50",Dezembro
Enfeites,"R$ 123,90",Dezembro
Compras,"R$ 250,00",Dezembro
Simples parc atrasados,"R$ 1.001,70",Dezembro
INSS Atrasados,"R$ 1.500,00",Dezembro
Pagamento Psicologas Terceirizadas,"R$ 3.960,00",Dezembro
Aluguel,"R$ 2.823,89",Janeiro
Condominio,"R$ 518,38",Janeiro
Condominio,"R$ 509,22",Janeiro
Contabilidade,"R$ 148,00",Janeiro
Luz,"R$ 80,83",Janeiro
Luz,"R$ 62,65",Janeiro
Internet Consultorio,"R$ 89,90",Janeiro
Telefone Clinica,"R$ 96,75",Janeiro
Imposto,"R$ 647,96",Janeiro
Simples,"R$ 401,51",Janeiro
Marketing,"R$ 500,00",Janeiro
Plataforma,"R$ 289,90",Janeiro
Seguro Saúde,"R$ 325,81",Janeiro
Luz,"R$ 83,52",Janeiro
Copinhos,"R$ 56,16",Janeiro
Enfeites,"R$ 37,50",Janeiro
Enfeites,"R$ 123,90",Janeiro
Compras,"R$ 200,00",Janeiro
Brinde,"R$ 220,00",Janeiro
Brinde,"R$ 170,00",Janeiro
Pagamento Psicologas Terceirizadas,"R$ 4.300,00",Janeiro
Aluguel,"R$ 2.823,89",Fevereiro
Condominio,"R$ 518,38",Fevereiro
Condominio,"R$ 509,22",Fevereiro
Contabilidade,"R$ 148,00",Fevereiro
Luz,"R$ 0,00",Fevereiro
Luz,"R$ 0,00",Fevereiro
Internet Consultorio,"R$ 89,90",Fevereiro
Telefone Clinica,"R$ 96,75",Fevereiro
Imposto,"R$ 647,96",Fevereiro
Simples,"R$ 401,51",Fevereiro
Marketing,"R$ 500,00",Fevereiro
Plataforma,"R$ 289,90",Fevereiro
Seguro Saúde,"R$ 325,00",Fevereiro
Compras,"R$ 250,00",Fevereiro
BNI,"R$ 240,00",Fevereiro
Patrocínio BNI,"R$ 50,00",Fevereiro
Evento Psicologia ,"R$ 300,00",Fevereiro
Pagamento Psicologas Terceirizadas,"R$ 4.550,00",Fevereiro
Compras,"R$ 122,15",Fevereiro
